,time,ID,text,score,like,dislike,watch_movie
0,2018-08-08 09:03:00,리재원(lips****),갑자기 분뇨를 싸지를 만한 연기들이다... ,10,5114,2326,False
1,2018-08-08 09:44:00,iamb****,와 올해 시상식에서 이성민 보겠네 ㅋㅋㅋ ,10,4225,1983,False
2,2018-08-08 09:03:00,연댕(powe****),"이성민의 이성민에 의한, 이성민을 위한 영화. 공작의 리명운역으로 이성민은 대한민국 최고의 배우임을 다시한번 입증했다. ",10,4075,1958,False
3,2018-08-08 09:12:00,딱총나무(jung****),"그 흔한 총질없이 품격있는 이제껏 볼 수 없었던 한국형 스파이물. 신과함께, 인랑중에서 제일 완성도 높은 영화. 신과함께에서 주지훈이 터졌다면 공작에서는 이성민이 터진다. ",10,3644,2219,False
4,2018-08-08 21:23:00,다람쥐(gnsw****),연평도 쏜게 우리나라가 북한한테 부탁한짓이다? 피해자들 눈에 피눈물 나오게 만드는 선동영화 개오진다 보는내내 불편했고 픽션이면 픽션이라고 하지 마지막에는 또 사실을 기반으로 한거라고 말하네? 정치색을 떠나 감독이나 작가 정신상태좀 평가받아야할듯 ,1,7308,6153,False
5,2018-08-08 18:02:00,prim****,"어디까지 실화를 기반으로 한 것이고, 허구인지 명확하게 구분을 안해둔 상태에서 남과 북이 대립상태인건 일방적으로 보수정당과 국가기관에 의한 책임으로 돌리고, 김대중과 당시 야당은 남북의 평화를 위했다는 전형적인 좌편향 미화 영화. ",1,7457,6303,False
6,2018-08-08 15:09:00,게롤트(doss****),아무리 영화라도 이런식으로 대놓고 선동하면 안되죠 ,1,6489,5380,False
7,2018-08-08 15:00:00,mori(rusw****),정의가 이기고 김대중이 당선됐다?북한과의 진한 우정의 감동 실화 이런건가?배우들의 연기력을 떠나서 이거 대놓고 좌향좌네;;; ,2,5781,4692,False
8,2018-08-08 13:49:00,가후(jkle****),한국영화계를 좌파가 점령했다는걸 보여주는영화....북한은 왜이리 미화하는지; ,1,5966,4894,False
9,2018-08-08 18:32:00,LMYJDH(king****),친북 영화임 북한 김돼지 3대 세습 옹호하는 역겨운 영화 ,1,4684,3664,False
10,2018-08-08 18:13:00,얌랭(diae****),정치색 그득그득한 최악의영화 ,1,4969,3970,False
11,2018-08-08 14:11:00,냐옹냐옹(jbc4****),이게 나라냐...영화도 정권따지면서 개봉하네ㅋ ,1,5585,4586,False
12,2018-08-08 17:43:00,zea7****,너무 노골적으로 북한정권 옹호해서 거부감이 듬 ,1,4785,3793,False
13,2018-08-08 16:25:00,러블리(namu****),아 진짜 너무 이건 아니잖아... ,1,4497,3525,False
14,2018-08-08 17:17:00,노보(nsbn****),재미도 없고 정치색 오지네 ,1,4363,3466,False
15,2018-08-08 17:24:00,dd(jame****),정치성향 진짜.. 좌우 떠나서 그냥 이런영화 별로 ,1,3703,2833,False
16,2018-08-08 16:05:00,싱심해(wlsg****),이 영화도 정치색 아주 찐하게 보여준다 ㅋㅋㅋ 지금 대통령이 누군지 생각해보길 ,1,3396,2591,False
17,2018-08-08 18:53:00,세온(ahat****),북한 찬양미화 이제 그만~ ,1,3578,2791,False
18,2018-08-09 09:42:00,노원원반(han9****),북괴는 1950년 6월 25일 새벽 4시에 자유대한민국에 침략하여 대한민국 국민 수백만을 학살했다. ,1,1721,1030,False
19,2018-08-08 12:43:00,찰흙척추(ghtk****),특별출연한 이효리 존재감ㄷㄷ ,10,2234,1601,False
20,2018-08-08 18:02:00,Freedom is not Free(pso1****),"평화를 위장한 정치적인 쇼에 치중한 영화, 특히 평론가들 점수가 높을수록 좌편향 영화임 ",1,2946,2316,False
21,2018-08-08 18:46:00,dudc****,전형적인 좌파성향의 영화입니다.선동이 다인 영화 ,1,2735,2128,False
22,2018-08-08 17:54:00,soso****,최악의 영화. 영화 초기라서 그런지 알바들 넘치네요. ,1,3172,2576,False
23,2018-08-08 19:28:00,민(ymha****),너무 재미없음 북한미화영화같음 ,1,2485,1938,False
24,2018-08-08 17:44:00,에일린(tlsd****),진짜 너무 재미가없음... 다큐멘터리보는줄 평점이너무좋아서 봤는데 와 무슨내용인지도모르겠고 언제끝날까 이것만 계속 생각하고 너무지루해서 계속졸고  진짜  배우들은 너무 좋은데 내용이... 심각하게 지루함 ,1,3530,3008,False
25,2018-08-08 19:31:00,타공(coco****),기대이하. 너무 많이 간듯한 영화.보다가 짜증남. ,2,2481,1974,False
26,2018-08-08 18:28:00,EGOIST(simm****),"정치병 걸린 좌좀들의 향현. 경제를 이리 아작내고, 북한과의 내통을 일삼는 현 상황에서도, 아직도 허망한 꿈을 쫒는 중. 공작에서의 정의의 승리=김대중의 당선. ",1,2240,1765,False
27,2018-08-08 19:26:00,ananan(asdf****),영화 이렇게 만들어도 되는건가요? 북한을 이렇게 묘사해도 되는건지 모르겠네 ,1,1476,1019,False
28,2018-08-08 18:00:00,김병수(burn****),반공영화인가? 결국 북한은 대한민국 정치인 사주를 받아 한국을 공격했고 북한은 아무 문제없는 교훈을 주는 영화? 진짜 대단하다 이번정부. ,2,1407,966,False
29,2018-08-08 10:13:00,성공강민(ygmg****),인랑 피하고 공작 을 잡았다.. ,10,1598,1181,False
30,2018-08-08 13:38:00,케사르(peac****),정치병영화 기분안좋아졌다 ,4,2251,1848,False
31,2018-08-08 19:26:00,규(mmuk****),앞으로 좌우 상관없이 정치색 들어간 영화 안봄. 그들의 생각을 나에게 주입한다는 생각이 들어서 매우 거북함. ,1,1393,996,False
32,2018-08-08 19:20:00,jmw9****,진심 근3년간 졸면서 본 영화 첫작입니다...제발 당신들의 돈을 아껴주고싶습니다제발 보지마십쇼... ,1,2581,2187,False
33,2018-08-08 19:58:00,2018추석(k72j****),형이 어지간하면 이런글 안쓰는데 ㅋㅋㅋ 가지마 ,1,1957,1564,False
34,2018-08-08 22:07:00,업둥이(131c****),진짜 국민을 ㅂㅅ으로 보나... ,1,1345,955,False
35,2018-08-08 22:03:00,연금술사(jhj9****),진짜 사실로 밝혀진게 아무것도 없는데 이렇게 선동하네.. 북한도발을 우리 정부의 자작극인것마냥.. 진짜 보는내내 기분이 더럽더라구요. 김대중 대통령 빠인 사람아니면 보지마세요 매우 좌편향된 허구적인 영화입니다. 1점주기도 아깝네요 ,1,1230,857,False
36,2018-08-08 18:04:00,강냉이 공장(zelk****),이나라 어찌 될런고..   걱정이다 ,2,1438,1067,False
37,2018-08-08 09:00:00,박성주(psj9****),구강 액션 버전 본 시리즈 ,10,1137,783,False
38,2018-08-08 18:44:00,ekdh****,그냥 재미가 너무나 없다 ,1,2034,1683,False
39,2018-08-08 21:50:00,딸기(kei5****),"진짜 영화 보다 나갈뻔 했다,,ㅋㅋㅋㅋ걍 머 현 정부 찬양 영화 수준 ",1,1115,794,False
40,2018-08-08 21:43:00,들뜨는마음(sunn****),너무 정치색이 짙은. 한쪽으로 치우쳐진 영화. ,1,1079,768,False
41,2018-08-08 14:04:00,Chaegang(pipo****),하... 한국영화는 진짜 이젠 지겹다.. 맨날 북한.. 핵.. 창의력이 필요하다 ,1,1356,1046,False
42,2018-08-08 12:41:00,crim****,이성민 남우주연상 확정!! ,10,656,362,False
