,time,ID,text,score,like,dislike,watch_movie
994,20.02.28 0:23,윤(wann****),"개봉했을때 영화관에서 봤었는데, 나는 대사있는 배우를 보는편이라서 현빈을 거의 안봤던지라 현빈이 기억에 안남아있었음. 이번에 리정혁 보고나서 현빈 작품 도장깨기중인데 현빈 액션이 어땠는지 다시 보고싶어서 봐봤다. 강도높은 액션을 직접 소화했다는걸 알고보니 더욱 멋지고 장면 하나하나 놓칠구석이 없었다. 유해진도 생활연기가 아주 자연스럽고 보기가 편하고 좋았다. 네이버 평점등록시 감상포인트를 추천하게되어있는데, 연기 스토리 액션 오스트 등 다 균형있게 잘 잡힌 영화인듯하다. 잘봤다. ",7,6,0,FALSE
2211,17.08.04 20:42,초아(choa****),재미있게 잘봤습니다. ,10,3,0,TRUE
2796,17.01.27 17:35,choi****,재미있게 잘봤습니다. ,9,4,1,TRUE
8000,17.01.30 23:54,ㅎㅎ(akwl****),재미있게 잘봤습니다. ,8,2,1,TRUE
9349,17.01.29 21:21,칼있으마(ultr****),재미있게 잘봤습니다. ,10,3,2,TRUE
150,17.10.30 19:54,꿀남(jaj3****),삼가 고인의 명복을 빕니다. ,10,23,1,FALSE
558,17.10.30 18:49,cndeotod(kjm1****),삼가 고인의 명복을 빕니다. ,10,9,0,FALSE
628,17.10.30 18:59,조은혜(tiqk****),삼가 고인의 명복을 빕니다. ,10,8,0,FALSE
0,17.01.18 23:51,김형민(hend****),애인이랑 영화를 보고나와서 맥주를 먹는데 안주가 필요없대요 현빈을 보고난후 절 보니 오징어같다고 마요네즈 가져오라네요... ,10,6085,749,TRUE
275,17.02.10 0:03,이종원(whdd****),내용이 그닥 알바가 너무많은듯 ,1,22,8,FALSE
581,17.02.11 23:23,kaixin sixu(kaix****),내용이 그닥 알바가 너무많은듯 ,1,13,4,FALSE
1003,20.01.26 2:49,lililililili(gksk****),애인이랑 영화를 보고나와서 맥주를 먹는데 안주가 필요없대요 현빈을 보고난후 절 보니 오징어같다고 마요네즈 가져오라네요... ,6,6,0,FALSE
2278,17.02.15 15:54,이혜련(yiry****),생각만큼  몰입하지를 못 했습니다 ,5,3,0,FALSE
3277,19.09.15 12:31,은수(hcin****),테러는 여기서 하지마시고..영화는 영화로만 봅시다 ,10,6,3,FALSE
3509,17.07.09 19:57,간지캠퍼(idhy****),볼만했어요 지루하진않은듯 ,7,2,0,TRUE
3908,17.01.31 17:08,삼나니(tkaf****),재밌게 관람했습니다. ,8,2,0,TRUE
4137,17.01.28 21:55,안녕하세요(dhtk****),재밌게 관람했습니다. ,8,2,0,TRUE
4484,17.02.15 15:54,이혜련(yiry****),생각만큼  몰입하지를 못 했습니다 ,5,3,1,FALSE
5002,17.01.23 2:58,동주(rin0****),재미있게 잘봤습니다~ ,8,3,1,TRUE
5773,21.02.11 22:51,천동(c813****),큰 생각없이 보기좋음현빈멋있고 ,8,1,0,FALSE
6939,17.01.30 14:17,발업벌처(guei****),킬링타임용으로 볼만합니다 ,8,1,0,TRUE
6954,17.01.30 13:40,박하마(forw****),킬링타임용으로 볼만합니다 ,6,1,0,TRUE
7022,17.01.29 22:41,sjki****,킬링타임용으로 괜찮은듯 ,7,1,0,TRUE
7192,17.01.28 22:29,파니핑크(ecol****),뻔한 스토리...현빈 멋있음 ,6,1,0,TRUE
7510,17.03.05 18:51,안아아르(zpcm****),꿀잼꿀잼꿀잼꿀잼꿀잼 ,10,2,1,TRUE
8647,17.01.25 16:43,도라에몽(caej****),킬링타임용으로 괜찮은듯 ,7,2,1,TRUE
8761,17.01.23 8:57,dkfl****,"액션인데 웃기기도하고,  징그럽거나 잔인한 장면도 없어서 재밌게 봤습니다^^  현빈의 액션과 유해진의 연기력이 캬 ! 흥미진진합니다 ",10,2,1,FALSE
9238,17.02.03 0:05,ayj0****,재미있게 잘봤습니다~ ,8,3,2,TRUE
9282,17.02.01 4:06,채중임(wkrk****),꿀잼꿀잼꿀잼꿀잼꿀잼 ,10,3,2,TRUE
1,17.01.18 10:12,필름(feel****),"현빈의 액션은 볼수록 멋있었고, 유해진은 갈수록 웃김ㅋㅋㅋㅋ 둘의 케미도 최고였다 ",10,4190,689,TRUE
2,17.01.18 10:32,메롱(jys6****),아... 현빈.... ,10,3716,572,TRUE
3,17.01.18 12:36,ckck****,현빈 얼굴이 너무 잘생겨서.진짜  잘생겨따.갈수록 잘생겨지는듯 ,10,3054,372,TRUE
4,17.01.18 10:53,레볼로드(revo****),넘나 기분좋게 보고 나왔네요 ㅋㅋㅋ 현빈 유해진 뜻밖의 케미 ㅋㅋㅋㅋ 담주에 엄빠도 보여드림 좋을듯 ,10,2805,535,TRUE
5,17.01.18 0:04,minw****,재밌다는데 더말이 필요해? ,10,2608,613,FALSE
6,17.01.18 0:56,김지상(kims****),연기구멍 하나 없고 내용도 단순해 보이지만 알차다! ,10,2100,391,FALSE
7,17.01.18 0:12,cmc2****,현빈하고 유해진인데 더말이필요할까 고민하지말고 보삼 ,10,1916,387,FALSE
8,17.01.18 16:12,gee(jiyo****),윤아때문에 진짜 많이 웃었고 현빈이랑 김주혁 정말 멋있음 ㅠㅠㅠ마지막도 통쾌하고 핵잼 다음편 나왔으면 ㅠㅠ ,10,1762,266,TRUE
9,17.01.18 12:17,구름사탕(makj****),"현빈 멋짐 터짐♡.♡ 유해진과 케미도 굿!추격전,총격전 아슬아슬 긴장감에 소름 돋음.재밌게 조조를 즐겼음^^ ",10,1225,189,TRUE
10,17.01.18 0:19,냐냐(aore****),일단 우선 현빈에게 박수를! 액션 너무 멋있더라 유해진이야 말할것도 없이 멋있는 배우고 구탱이형 다시봄 존멋 ,10,1067,147,FALSE
11,17.01.18 0:09,yeon****,두 배우의 환상적인 콤비~~♥ ,10,1112,229,FALSE
12,17.01.18 0:40,블가리(whit****),"무대인사 시사회로 봤는데 내사랑 현빈을 눈앞에서♡ 너무 재밌었다! 유쾌한 유해진과 넘나 멋진 현빈의 캐미도 좋구..악역 잘 소화한 김주혁, 귀엽고 웃긴 윤아ㅎㅎ시원시원한 액션도 짜릿하다~ 너무 웃겨서 눈물난것도 참 오랜만ㅋㅋ ",9,988,219,FALSE
13,17.01.18 14:22,정인화(call****),재미있었고 윤아의 연기가 리얼했다. ,10,810,164,TRUE
