time,ID,text,score,like,dislike,watch_movie
2020-01-23 14:55,erlo****,김재규를 미화하지않고객관적이며 인간적으로 묘사했던게 좋았고무엇보다 머머리를 좀도둑놈 시키로 그려줬던게 최고의 연출이었다  ,10,6466,2080,TRUE
2020-01-22 15:55,빛그림(namj****),연기 잘 하는 배우가 모여있습니다 ,10,5118,1432,TRUE
2020-01-22 10:10,쩡(jeon****),이 영화는 이병헌 연기의 최정점을 볼 수 있다   한 장면 한 장면 긴장감을 놓을 수 없고 진짜 잘 만든 영화라는 생각밖에는    오랜만에 잘 만든 한국영화 bb ,10,4594,1695,TRUE
2020-01-22 20:29,Joonseosa(myeo****),오랜만에 볼만한 한국영화 이성민 배우님 박통 연기 소름돋았습니다 ,10,3792,1244,TRUE
2020-01-22 11:19,ㅎㅎㅎ(eorm****),다 좋은데 마지막에 뭐냐  전두환이 돈 챙겨가는거   개찐빠네 마지막이 ,10,3500,984,TRUE
2020-01-22 10:12,minmin(ssg8****),이병헌 연기력 폭발함  후반부까지 긴장감 대박임    ,10,3322,1230,TRUE
2020-01-22 20:02,PurityDEK(drea****), 오랜만에 잘봤습니다  연기  대박 ,10,2930,1027,FALSE
2020-01-24 2:00,묘갈(nged****),남산으로 향했으면 김재규가 정권을 잡았다고 모든 전문가들이 판단했는데 왜 육본으로 가서   죄를 받았는지 거기에 전두환은 쥐새끼같이 기횔 물고  생쑈를   ,10,2483,628,TRUE
2020-01-22 10:11,jjom(more****),진짜 이병헌 크라쓰가 다르다 긴장감있는 연출도 좋았음 ,10,2729,1081,TRUE
2020-01-24 12:12,다크호스(afgh****),징한놈이 가니 더 한 놈이 오네    ,10,2067,457,TRUE
2020-01-22 15:03,hun1****,일베들 평점테러보소   ,10,3995,2606,FALSE
2020-01-22 21:19,정빛나(brig****),이 영화는 평가를 할 수가 없다 ,10,2021,830,FALSE
2020-01-22 10:05,피노코(pino****),다들 연기 미쳤다      엔딩 진짜 특히 꼭 봐야함 ,10,2001,899,TRUE
2020-01-22 11:58,파워피로에(jokw****),배우들의 연기로 이미 재미 없을수가 없었다   ,10,1959,910,FALSE
2020-01-22 10:07,chio****,와 연기력 진짜 미쳤다 굿 ,10,1800,864,TRUE
2020-01-22 10:15,Ssssss_(sehy****),이병헌  이성민 압도적인 연기에 이희준도 장난이 아니다  완벽하게 그때 그 사람들 같다  ,10,1579,664,TRUE
2020-01-22 10:14,움치키움챠(llll****),완성도와 재미 모두 갖췄지만 연기가 소름     이병헌 안면근육까지 열연 ,10,1534,622,FALSE
2020-01-22 10:02,손흥따리바리(lsj2****),작품으로 보고 평가좀 합시다 좌우 갈라서 싸우지 말고 좌파들만 원하는 우파들만 원하는 영화가 나오길 바라나요  둘다 꿈깨쇼 ,10,1893,1025,FALSE
2020-01-23 0:18,계왕권200배(senc****),어떻게 이병헌은 눈두덩이 밑 달달 떨리는 연기도 하냐     ,10,1057,276,FALSE
2020-01-22 10:04,노가리(shwo****),영화 자체는 묵직하고 포스 있는데 이병헌의 섬세한 고민 번뇌 등등까지 다 잡았음 진짜 멋드러지는 영화 ,10,1345,579,FALSE
2020-01-22 10:16,gkdlgkdl221(boyo****),이병헌 연기 미쳤다   내 인생 최고의 엔딩   ,10,1299,775,TRUE
2020-01-22 10:15,shs1****,예상했던 것 보다 연기가 더 소름돋음 긴장감 있는 연출 음악 다 좋았고 역시 마지막 엔딩     연휴에 한 번 더 볼 각 ,10,1156,653,TRUE
2020-01-25 9:27,kang****,박정희  김재규  차지철  전두환      권력투쟁을 사실적으로 잘 묘사한 시대극  ,9,787,334,FALSE
2020-01-22 10:18,쥬니(vlwk****),이병헌이 이병헌했고 우민호가 우민호 했다 ,10,1191,753,TRUE
2020-01-27 3:57,레이라(layl****),이 영화가 개봉되고 유통되고 있는 것이 신기합니다지금은 이런 세상이군요  ,10,593,158,TRUE
2020-01-22 10:12,후이종(ht59****),연기는 당연히 믿고받는데 연출까지 최고일줄은 몰랐다  진짜 재밌었음 ,10,1117,689,TRUE
2020-01-22 10:08,정명호(hanj****),한국 영화에서 오랜만에 만나보는 웰메이드 정치 스릴러  배우들의 놀라운 연기력으로 영화의 품격을 한 층 더 높인다  차곡차곡 쌓아온 감정선을 폭발시키는 엔딩은 가히 압도적  ,10,987,574,FALSE
2020-01-22 14:06,wasa****,평점을 좀 대국적으로 다십시오  ,8,694,304,FALSE
2020-01-22 22:14,상큼한레몬(sulk****),평점은 임자 맘대로 혀  아는 결말이어도 숨죽이고 봤어요  ,10,647,283,TRUE
2020-01-26 21:44,ekzp****,40년이 지나니까 이런 영화도 나오네요  ,8,482,132,TRUE
2020-01-26 14:07,아범(no38****),역시 전두혁이는 쥐새퀴 ,10,516,191,TRUE
