,text,Çø¿À,¼ºº°,ÀÌ³ä/Áö¿ª,ÀÎ°£Á¸¾ö¼º
218,¾î¸Ó´Ô¼¼´ë°¡ º¸½Ã¸é ±â°¡ Âû ¿µÈ­³×¿ä,0,0,0,0
618,ÀÌ°Å º¸´Â¿©ÀÚ Ä¡°í Á¦´ë·Î µÈ ¿©ÀÚ ¸øº½,1,1,0,0
4253,±¹Á¦½ÃÀåÀº »ç½Ç ¿µÈ­¿¡¼­ º¸¿©Áö´Â ±×·± ¹«´ë°¡ ¾Æ´Ï´Ù. ´õ ½½ÇÂ »ç¿¬ÀÌ ÀÖ´Â °÷... ´ç½Ã ¹Ì±º Àå±³ÀÇ ÀÌ¾ß±â¸¦ µéÀ¸¸é Âü..,0,0,0,0
4176,ÀÎ¶ûÀº ÇÇÇß´Âµ¥ ÀÌ°É ¸øÇÇÇß´Ù,0,0,0,0
2111,³Ê¹« Àç¹Ì¾ø´Ù ¸»ÇÏ°íÀÚ ÇÏ´Â ¸Þ¼¼Áöµµ ¸ð¸£°ÚÀ½,0,0,0,0
1139,Çã¸®¾ÆÇª´Ù     ¼³¸íÃæ¿µÈ­,1,0,0,1
2742,Á¦¸ñÀÚÃ¼°¡ º°·ÎÀÌ´Ù  ±×¸®°í ¹è¿ìÀÇ ¿¬±â´Â ÁÁ´Ù  ±Ùµ¥ ±ÄÀÌ ¿©¼ºÀÌ¶ó´Â    ¾Æ´Ï´Ù,0,0,0,0
3616,°¨µ¶´«¿¡´Â Æ÷ÄÏ¸ó µðÁö¸óµµ ½ÇÈ­¸¦ ¹ÙÅÁÀ¸·Î ¸¸µç ¸¸È­·Î º¸ÀÌ·Á³ª,0,0,0,0
4148,°­Ã¶ºñº¸´Ù Àç¹Ì ¾ø¾î¿ä,0,0,0,0
435,Æä¹Ì ¾Æ¿ô,0,0,0,0
3884,ÀÌ ¿µÈ­¾ß ¸»·Î °øÀÛÀÌ³×  ¾îµð¼­ ¼±µ¿ÁúÀÌ¾ß,0,0,0,0
3267,³»ÀÎ»ýÀÇ ÃÖ¾ÇÀÇ ¿µÈ­  º¸´Â ³»³» Åä°¡ ½ò·È´Ù,0,0,0,0
4154,»¡°»ÀÌµé ±³À° ¿µÈ­,1,0,1,0
3859,ÁÂÆÄ¹ÌÈ­ Á¤Ä¡¿µÈ­ ¹Ï°í°Å,0,0,0,0
1187,¾²·¹±â Áß¾²·¹±â´Ù,0,0,0,0
3183,¾Ë¸®½ºÅ¸ ÄÞº¸   E  W Q ÆòX5 ½ºÅÏ Á¡È­,0,0,0,0
100,ÇÇÇØ¸Á»ó È¯ÀÚµéÀÌ ÁÁ¾ÆÇÏ´Â,1,0,0,1
4117,Àç¾Ó ¿µÈ­,0,0,0,0
2704,¿ÃÇØ ÃÖ¾ÇÀÇ ¿µÈ­ Áß ÃÖ¾Ç,0,0,0,0
4165,¹®ÀçÀÎ Á¤±Ç ¾ð·ÐÇÃ·¹ÀÌ ¿µÈ­ ¹è¿ìµé ¿¬±â°¡ ¾Æ±î¿ü´Ù,0,0,0,0
1324,¹è¿ìµéÀÇ ¿¬±â´Â ³Ê¹«Èá¸¢ÇÏ³ª  ³Ê¹«³ª ÇÑÂÊÀ¸·Î¸¸ Ä¡¿ìÄ£ ¿µÈ­°°¾Æ    °ø°¨ÀÌ ¾È°¡³×¿ä,0,0,0,0
2713,ÀÏ´Ü ÀÛ°¡¿Í °¨µ¶ÀÌ Æí°ßÀ» °¡Áö°í ÀÌÇØ°¡ ¾Æ´Ï¶ó °­¿ä¸¦ ÇÏ°íÀÖ°í ÀÚ·áµµ À¯¸®ÇÑ °Í¸¸ »Ì¾Æ¾²°í ÀÚ·á¸¦ À¯¸®ÇÑ °Í°ú ÀÚ½ÅÀÇ ÁÖÀåÀ» À§ÇÑ °Í¸¸ °ñ¶ó¾²´Ùº¸´Ï ¸ð¼øÀûÀÌ¸ç Àß¸øµÈ Çã±¸¸¦ »ç½ÇÀÎµí Ç¥ÇöÇÑ´Ù  ÀÌ°Ô ¾ó¸¶³ª À§ÇèÇÑ,0,0,0,0
3019,°øÀ¯´Â ³Ê³× ¾È¸¸³ªÁà¿ä,0,0,0,0
1840,¿µÈ¥º¸³»´Â ¿µÈ­´Â °É·¯¾ßÇÔ,0,0,0,0
3719,Áö·çÇØ¼­ Áß°£¿¡ ³ª°¡°í½Í¾ú´Âµ¥Áß°£¿¡ ¾É¾Æ¼­ ³ª°¡Áöµµ ¸øÇÏ°í   º¼°Å¸® 1µµ¾ø°í   ¹è¿ìµéÀÌ ¾Æ±õ´Ù,0,0,0,0
1745,Áö·çÇÏ°í µ· ¾Æ±õ´Ù,0,0,0,0
1549,1882³â»ý ±èÁö¿µ ÀÌ¸éÀº ÀÌÇÏ°Ú´Âµ¥ ÀÌ°Ç OO¾ïÁöÀÓ,0,0,0,0
2534,ÀÌ ¿µÈ­´Â ÁøÂ¥ 1Á¡µµ ¾Æ±õ´Ù,0,0,0,0
2847,³×    À½   ÈåÀ½,0,0,0,0
